.\datasets\images\10010052.jpg| A girl is on rollerskates talking on her cellphone standing in a parking lot .,,,,,,,,,| A trendy girl talking on her cellphone while gliding slowly down the street .,,,,,,,,,| A young adult wearing rollerblades , holding a cellular phone to her ear .,,,,,,,,| there is a young girl on her cellphone while skating .,,,,,,,,,| Woman talking on cellphone and wearing rollerskates .,,,,,,,,,
.\datasets\images\7521110296.jpg| A man wearing a yellow shirt is pouring something white into one of many barrels inside of a building .,,,,,,,,,| A man in a yellow shirt fills some barrels with a small scoop .,,,,,,,,,| Asian male puring rice into a bucket outside of a store .,,,,,,,,,| Men working in a warehouse , putting rice into barrels .,,,,,,,,| Japanese man sorting grain into barrels .,,,,,,,,,
.\datasets\images\7526599338.jpg| A surfer is maintaining his balance on a surfboard as he shoots over the crest of a perfectly blue , ocean wave .,,,,,,,,| A surfer in a black wetsuit holding his balance on the crest of a wave as it begins to break around him .,,,,,,,,,| A surfer in black gets hit with spray while riding a wave .,,,,,,,,,| A surfer riding the top of a wave in the ocean .,,,,,,,,,| A blond man riding a small wave as he surfs .,,,,,,,,,
.\datasets\images\7526601158.jpg| The surfer is riding waves while viewing the edge of the horizon in the distance .,,,,,,,,,| A man in a black and red wetsuit , surfing amongst the waves .,,,,,,,,| A surfer riding a wave on a nice sunny day .,,,,,,,,,| Man wearing black and red surfing a wave .,,,,,,,,,| A man surfing on a wave , hanging ten .,,,,,,,,
.\datasets\images\7527074552.jpg| A woman with a blue bandanna riding a horse with a group of other horses and riders in the background .,,,,,,,,,| Four people on horses standing still at a green valley with mountains in the background .,,,,,,,,,| Four riders are out on horseback , one rider is lagging behind as her horse eats grass .,,,,,,,,| There is five horse back riders riding through a valley on a trail in the sunlight,,,,,,,,,| 5 people riding horses with one in the foreground grazing on the grass .,,,,,,,,,
.\datasets\images\7529595826.jpg| Many uniformed cyclists are going down a street passing cars parked on the side of the road .,,,,,,,,,| Two men in red , two men in blue and one in pink are in a bicycle race,,,,,,,,| A group of cyclists riding their bikes in a marathon .,,,,,,,,,| A group of cyclists ride their bikes on a road .,,,,,,,,,| Six men riding bikes in a race .,,,,,,,,,
.\datasets\images\7529986808.jpg| Four small children playing in the sand and showing off their old food containers they are using to play in the sand .,,,,,,,,,| Four black children sit in the sand with various empty food containers .,,,,,,,,,| Four black children smiling and eating their lunch on the ground .,,,,,,,,,| Four young kids are eating , playing , smiling .,,,,,,,| Four young kids playing with empty canisters .,,,,,,,,,
.\datasets\images\7544290736.jpg| Six men are looking at a cement hole in the ground and talking next to a backhoe .,,,,,,,,,| Construction workers chat with one another beside a cement filled hole .,,,,,,,,,| 6 male construction workers standing by a large equipment vehicle .,,,,,,,,,| A group of workers are listening to instruction from a colleague .,,,,,,,,,| Construction workers chatting on-site .,,,,,,,,,
.\datasets\images\7545811884.jpg| A smiling woman with dark hair , dressed in a white shirt with a decorated dark jacket , is playing a violin and performing in front of a large Smithsonian sign .,,,,,,,| A woman with slicked down black hair and a black jacket with designs on the sleeve is playing violin next to a microphone .,,,,,,,,,| A woman dressed in black is playing a violin .,,,,,,,,,| A woman performing the violin in a concert .,,,,,,,,,| a happy female violinist playing music .,,,,,,,,,
.\datasets\images\7550213772.jpg| A college-aged , white male sleeping in what appears to be a classroom ( room ? ) with two other people inside it .,,,,,,,,| A young man in a black shirt has propped up his head with his arm , and has nearly fallen asleep .,,,,,,,,| The young man in the black shirt is leaning against a chair and appears to be falling asleep .,,,,,,,,,| A guy leaning his arm on a chair with his eyes closed .,,,,,,,,,| Young adult sleeping in a room full of people .,,,,,,,,,
.\datasets\images\7550561674.jpg| A man with brown dreadlocks who is wearing a dark blue , flowing tunic , plays electric guitar in front of a bald man in a yellow shirt who is playing drums .,,,,,,,| An African American base player wearing a blue shirt , being backed up by a drummer .,,,,,,,,| A man with dreads and a guitar , is clapping while performing on stage .,,,,,,,,| A musician with dreadlocks is preparing to play a guitar with a band .,,,,,,,,,| A man with long hair plays a guitar .,,,,,,,,,
.\datasets\images\7557754272.jpg| A man wearing yellow and black is riding a bicycle over a crosswalk while people are watching him .,,,,,,,,,| A cyclist in neon yellow uniform rides past spectators behind a yellow banner reading "" Lotos . """,,,,,,,,,| A bicyclist near town is racing in a race while , wearing yellow and a helmet .,,,,,,,,| A bicyclist rides by as an audience watches behind a banner .,,,,,,,,,| One vibrantly colored male in a bicycle race .,,,,,,,,,
.\datasets\images\7564442710.jpg| A tennis player wearing a white outfit swings for the ball .,,,,,,,,,| While spectators watch she plays tennis , dressed in white .,,,,,,,,| Female tennis player about to hit a tennis ball .,,,,,,,,,| Tennis player in white swinging her racket .,,,,,,,,,| Woman holding a tennis racket shrugs .,,,,,,,,,
.\datasets\images\756521713.jpg| A woman who is sitting in a field listening to music throws a frisbree for her brown dog .,,,,,,,,,| The woman wearing the pink jacket has thrown a Frisbee for the dog to catch .,,,,,,,,,| A seated woman with short hair and a camera throws a Frisbee to a brown dog .,,,,,,,,,| Woman with camera is throwing a Frisbee for her brown dog to catch .,,,,,,,,,| A woman is throwing a red Frisbee toward a brown dog .,,,,,,,,,
.\datasets\images\756909515.jpg| Three dogs in different shades of brown are playing in the water .,,,,,,,,,| Three dogs playing in the green water .,,,,,,,,,| Three dogs play together in the water .,,,,,,,,,| Three dogs are playing in the water .,,,,,,,,,| Three dogs play in water .,,,,,,,,,
.\datasets\images\75698102.jpg| A swimmer , in a Olympic sized pool , is dragging a foam circle and four floating red balls .,,,,,,,| A young girl in the pool playing with the floating ring , and balls to toss into the ring .,,,,,,,,| A person floating in a swimming pool holding on to a floating device .,,,,,,,,,| The kid is in the water holding on to a floating tube .,,,,,,,,,| a boy holds a noodle in the pool .,,,,,,,,,
.\datasets\images\757133580.jpg| A young boy in a green shirt is strapped in a harness climbing a rock wall .,,,,,,,,,| A young boy is rock climbing while suspended in a harness .,,,,,,,,,| A child wearing a green shirt is bungee climbing .,,,,,,,,,| A child at the top of a fake rock wall .,,,,,,,,,| A child climbs a rock wall .,,,,,,,,,
.\datasets\images\757674952.jpg| A man in a gray pullover and pink pants wears a rose on his head while eating dinner with others at a restaurant .,,,,,,,,,| A young man in a gray hoodie and a flower on his head striking a pose after a meal .,,,,,,,,,| At a dinner table , a teenage boy is wearing a flower on his head .,,,,,,,,| A boy in a gray sweatshirt is posing for a picture after dinner .,,,,,,,,,| A boy is being waited on in a restaurant .,,,,,,,,,
.\datasets\images\7577634482.jpg| A police office riding a motorcycle in front of a large group of people standing behind a waist-high fence .,,,,,,,,,| A crowd leans against barriers along side a road while a police officer on a motorcycle drives by .,,,,,,,,,| A police officer is riding a motorbike down a street while spectators behind a barricade look on .,,,,,,,,,| A person wearing a yellow jacket is riding a white motorcycle by a crowd of onlookers .,,,,,,,,,| A police officer riding a motorcycle in a busy even with people behind a railing .,,,,,,,,,
.\datasets\images\"7578419416.jpg| A man in a yellow t-shirt with the word "" FUN. "" and a denim jacket holds a microphone in one hand and places his other hand on his hip .",,,,,,,,,| A guy wearing a yellow shirt is holding a microphone .,,,,,,,,,| Man on stage in shirt that says fun performing .,,,,,,,,,| A young man holding a microphone and singing .,,,,,,,,,| Man in yellow shirt is holding a microphone .,,,,,,,,,
.\datasets\images\7582142286.jpg| A few adults , mostly men standing in 1 inch or so of muddy water while a little girl in a flowered raincoat kicks the water up with her boot .,,,,,,,,| Five people are standing in muddy water , while a little girl kicks mud on a man 's shorts .,,,,,,,,| A little girl surrounded by older men are all wearing boots and are playing in the mud .,,,,,,,,,| A little girl in a red rain hat is playing in the mud with several adults .,,,,,,,,,| A little girl in a red rain hat kicks at a man covered in mud .,,,,,,,,,
.\datasets\images\7583363228.jpg| USA basketball player dribbling to the basket protecting the ball from the opposition .,,,,,,,,,| Two basketball teams playing against each other , one team is USA .,,,,,,,,| Kobe Bryant dressed in a USA jersey takes on 2 defenders .,,,,,,,,,| Men are playing basketball in front of a large crowd .,,,,,,,,,| Three guys playing a pro game of basketball .,,,,,,,,,
.\datasets\images\758921886.jpg| A little girl smiles as she slides down a tube on a sunny day .,,,,,,,,,| A girl wearing a blue dress is sliding down a tube slide .,,,,,,,,,| A little girl in a white top is inside a concrete tube .,,,,,,,,,| A little girl is sliding down a tunnel smiling .,,,,,,,,,| A young girl in inside a tunnel .,,,,,,,,,
.\datasets\images\7589467042.jpg| Five men playing a competitive game of basketball with the man in the black tank top and black shorts in possession of the ball .,,,,,,,,,| A member of the blue devils youth basketball team controls a ball in a game against the crusaders .,,,,,,,,,| A group of teenagers in a variety of jerseys maneuver for control of a basketball .,,,,,,,,,| Some boys are playing basketball on a court .,,,,,,,,,| A basketball game between two schools .,,,,,,,,,
.\datasets\images\759003091.jpg| A boy wearing khaki pants and a sports team jersey is jumping down the stairs outside .,,,,,,,,,| A boy in a blue and red shirt leaps down a few brick and stone steps outdoors .,,,,,,,,,| A boy jumping off of some steps with a garden in the background .,,,,,,,,,| Two beautiful green flower pots sitting outside .,,,,,,,,,| boy jumping over steps and smiling,,,,,,,,,
.\datasets\images\75902281.jpg| Two men with short brown hair are sitting drinking beer out of green bottles .,,,,,,,,,| Two men are shown drinking beer while sitting in folding chairs .,,,,,,,,,| Two men drinking beer and making faces .,,,,,,,,,| Two men in chairs drinking beers .,,,,,,,,,| Two men are drinking beer .,,,,,,,,,
.\datasets\images\75902338.jpg| Two men making faces and drinking beer from glasses , one with a ribbon on his shirt .,,,,,,,,| Two drunk friends drink another drink with angry faces .,,,,,,,,,| Two men are drinking together to get even more drunk .,,,,,,,,,| Two guys in blue chug alcohol from fancy cups .,,,,,,,,,| Two guys drinking and making faces .,,,,,,,,,
.\datasets\images\75902708.jpg| A man in a straw hat , and a man in a striped shirt are each drinking out of their own styrofoam cups and making strange faces .,,,,,,,,| A man in a straw hat and another man in a striped shirt who are both drinking from cups and making funny faces .,,,,,,,,,| Two young men make faces as they drink from styrofoam cups .,,,,,,,,,| Two men with angry faces drink out of white cups .,,,,,,,,,| Two men drinking out of white cups .,,,,,,,,,
.\datasets\images\7594999748.jpg| Two men , one in a gray shirt and one in a blue shirt , in mid-jump playing frisbee .,,,,,,,| One man grasps a frisbee while another one tries to get it from him in midair .,,,,,,,,,| Two men playing ultimate frisbee jump into the air during their match .,,,,,,,,,| two guys are playing with a frisbee and jumping high at the same time,,,,,,,,,| Two men playing frisbee outside .,,,,,,,,,
.\datasets\images\7596563530.jpg| There are 9 people on horses in fancy clothes riding through a field with a treeline in the background .,,,,,,,,,| A group of ten horse riders wearing equestrian helmets gallop across a large grassy field .,,,,,,,,,| Riders and horses at the end of the day returning from a polo match .,,,,,,,,,| Nine people riding their horses .,,,,,,,,,| The people are riding on horses .,,,,,,,,,
